run_at_utc,country,league,api_league_id,fixture_id,kickoff_utc,home_team,away_team,has_1x2,home_odds,draw_odds,away_odds,api_errors
2026-09-11T13:04:49Z,England,Premier League,39,1557398,2026-09-12T14:00:00+00:00,Bournemouth,Brentford,NO,,,,
2026-09-11T13:04:49Z,England,Premier League,39,1557403,2026-09-12T14:00:00+00:00,Liverpool,Fulham,NO,,,,
2026-09-11T13:04:49Z,England,Premier League,39,1557399,2026-09-12T14:00:00+00:00,Chelsea,Hull City,NO,,,,
2026-09-11T13:04:49Z,Spain,La Liga,140,1570381,2026-09-11T19:00:00+00:00,Sevilla,Valencia,NO,,,,
2026-09-11T13:04:49Z,Spain,La Liga,140,1570378,2026-09-12T12:00:00+00:00,Racing Santander,Alaves,NO,,,,
2026-09-11T13:04:49Z,Spain,La Liga,140,1570377,2026-09-12T14:15:00+00:00,Osasuna,Espanyol,NO,,,,
2026-09-11T13:04:49Z,Italy,Serie A,135,1550126,2026-09-11T18:45:00+00:00,Venezia,Fiorentina,NO,,,,
2026-09-11T13:04:49Z,Italy,Serie A,135,1550119,2026-09-12T13:00:00+00:00,Genoa,Frosinone,NO,,,,
2026-09-11T13:04:49Z,Italy,Serie A,135,1550121,2026-09-12T16:00:00+00:00,Lazio,AC Milan,NO,,,,
2026-09-11T13:04:49Z,Germany,Bundesliga,78,1575164,2026-09-11T18:30:00+00:00,Union Berlin,FC Schalke 04,NO,,,,
2026-09-11T13:04:49Z,Germany,Bundesliga,78,1575161,2026-09-12T13:30:00+00:00,SC Freiburg,Borussia Mönchengladbach,NO,,,,
2026-09-11T13:04:49Z,Germany,Bundesliga,78,1575163,2026-09-12T13:30:00+00:00,FSV Mainz 05,Eintracht Frankfurt,NO,,,,
2026-09-11T13:04:49Z,France,Ligue 1,61,1552763,2026-09-11T18:45:00+00:00,Rennes,Marseille,NO,,,,
2026-09-11T13:04:49Z,France,Ligue 1,61,1552764,2026-09-12T15:15:00+00:00,Strasbourg,Monaco,NO,,,,
2026-09-11T13:04:49Z,France,Ligue 1,61,1552761,2026-09-12T18:45:00+00:00,Lorient,Toulouse,NO,,,,
2026-09-11T13:04:49Z,Austria,Austrian Bundesliga,218,1561926,2026-09-11T17:30:00+00:00,Ried,Red Bull Salzburg,NO,,,,
2026-09-11T13:04:49Z,Austria,Austrian Bundesliga,218,1561924,2026-09-12T15:00:00+00:00,SCR Altach,Grazer AK,NO,,,,
2026-09-11T13:04:49Z,Austria,Austrian Bundesliga,218,1561929,2026-09-12T17:30:00+00:00,Wolfsberger AC,Rapid Vienna,NO,,,,
2026-09-11T13:04:49Z,Belgium,Belgian Pro League,144,1558626,2026-09-11T18:45:00+00:00,KV Mechelen,Anderlecht,NO,,,,
2026-09-11T13:04:49Z,Belgium,Belgian Pro League,144,1558627,2026-09-12T14:00:00+00:00,SK Beveren,St. Truiden,NO,,,,
2026-09-11T13:04:49Z,Belgium,Belgian Pro League,144,1558628,2026-09-12T16:15:00+00:00,KVC Westerlo,Standard Liege,NO,,,,
2026-09-11T13:04:49Z,Denmark,Danish Superliga,119,1549016,2026-09-11T17:00:00+00:00,FC Copenhagen,AC Horsens,NO,,,,
2026-09-11T13:04:49Z,Denmark,Danish Superliga,119,1549017,2026-09-13T12:00:00+00:00,Lyngby,Sonderjyske,NO,,,,
2026-09-11T13:04:49Z,Denmark,Danish Superliga,119,1549021,2026-09-13T12:00:00+00:00,Silkeborg,Viborg,NO,,,,
2026-09-11T13:04:49Z,Lithuania,A Lyga,362,1547629,2026-09-13T11:30:00+00:00,Panevėžys,Kauno Žalgiris,NO,,,,
2026-09-11T13:04:49Z,Lithuania,A Lyga,362,1547631,2026-09-13T14:00:00+00:00,Šiauliai,Hegelmann Litauen,NO,,,,
2026-09-11T13:04:49Z,Lithuania,A Lyga,362,1547630,2026-09-13T15:45:00+00:00,Suduva Marijampole,FK Zalgiris Vilnius,NO,,,,
2026-09-11T13:04:49Z,Latvia,Virsliga,365,1515923,2026-09-11T14:00:00+00:00,Ogre United,FK Liepaja,NO,,,,
2026-09-11T13:04:49Z,Latvia,Virsliga,365,1515921,2026-09-11T15:00:00+00:00,Riga,Auda,NO,,,,
2026-09-11T13:04:49Z,Latvia,Virsliga,365,1515920,2026-09-12T11:00:00+00:00,Grobiņa,FS Jelgava,NO,,,,
2026-09-11T13:04:49Z,Netherlands,Eredivisie,88,1552162,2026-09-11T18:00:00+00:00,AZ Alkmaar,Willem II,NO,,,,
2026-09-11T13:04:49Z,Netherlands,Eredivisie,88,1552163,2026-09-12T14:30:00+00:00,Twente,ADO Den Haag,NO,,,,
2026-09-11T13:04:49Z,Netherlands,Eredivisie,88,1552164,2026-09-12T16:45:00+00:00,GO Ahead Eagles,Groningen,NO,,,,
2026-09-11T13:04:49Z,Norway,Eliteserien,103,1494760,2026-09-12T14:00:00+00:00,Lillestrom,Valerenga,NO,,,,
2026-09-11T13:04:49Z,Norway,Eliteserien,103,1494761,2026-09-12T16:00:00+00:00,Rosenborg,Tromso,NO,,,,
2026-09-11T13:04:49Z,Norway,Eliteserien,103,1494763,2026-09-13T12:30:00+00:00,Viking,Kristiansund BK,NO,,,,
2026-09-11T13:04:49Z,Poland,Ekstraklasa,106,1553168,2026-09-11T16:00:00+00:00,Raków Częstochowa,Motor Lublin,NO,,,,
2026-09-11T13:04:49Z,Poland,Ekstraklasa,106,1553170,2026-09-11T18:30:00+00:00,Wisla Krakow,Jagiellonia,NO,,,,
2026-09-11T13:04:49Z,Poland,Ekstraklasa,106,1553169,2026-09-12T12:45:00+00:00,Slask Wroclaw,Korona Kielce,NO,,,,
2026-09-11T13:04:49Z,Portugal,Primeira Liga,94,1575498,2026-09-12T14:30:00+00:00,Nacional,Alverca,NO,,,,
2026-09-11T13:04:49Z,Portugal,Primeira Liga,94,1575495,2026-09-12T17:00:00+00:00,Casa Pia,FC Porto,NO,,,,
2026-09-11T13:04:49Z,Portugal,Primeira Liga,94,1575491,2026-09-12T19:30:00+00:00,Academico Viseu,Vitória SC,NO,,,,
2026-09-11T13:04:49Z,Turkey,Super Lig,203,1584405,2026-09-11T17:00:00+00:00,Beşiktaş,Erzurumspor FK,NO,,,,
2026-09-11T13:04:49Z,Turkey,Super Lig,203,1584406,2026-09-12T14:00:00+00:00,Eyüpspor,Rizespor,NO,,,,
2026-09-11T13:04:49Z,Turkey,Super Lig,203,1584411,2026-09-12T14:00:00+00:00,Samsunspor,Çorum FK,NO,,,,
2026-09-11T13:04:49Z,Scotland,Scottish Premiership,179,1556642,2026-09-15T18:45:00+00:00,Hibernian,Kilmarnock,NO,,,,
2026-09-11T13:04:49Z,Scotland,Scottish Premiership,179,1556643,2026-09-15T18:45:00+00:00,Motherwell,Aberdeen,NO,,,,
2026-09-11T13:04:49Z,Scotland,Scottish Premiership,179,1556641,2026-09-15T18:45:00+00:00,Falkirk,Heart Of Midlothian,NO,,,,
2026-09-11T13:06:24Z,England,Premier League,39,1557398,2026-09-12T14:00:00+00:00,Bournemouth,Brentford,NO,,,,
2026-09-11T13:06:24Z,England,Premier League,39,1557403,2026-09-12T14:00:00+00:00,Liverpool,Fulham,NO,,,,
2026-09-11T13:06:24Z,England,Premier League,39,1557399,2026-09-12T14:00:00+00:00,Chelsea,Hull City,NO,,,,
2026-09-11T13:06:24Z,Spain,La Liga,140,1570381,2026-09-11T19:00:00+00:00,Sevilla,Valencia,NO,,,,
2026-09-11T13:06:24Z,Spain,La Liga,140,1570378,2026-09-12T12:00:00+00:00,Racing Santander,Alaves,NO,,,,
2026-09-11T13:06:24Z,Spain,La Liga,140,1570377,2026-09-12T14:15:00+00:00,Osasuna,Espanyol,NO,,,,"[""API-Football /odds: {'rateLimit': 'Too many requests. You have exceeded the limit of requests per minute of your subscription.'}""]"
2026-09-11T13:06:24Z,Italy,Serie A,135,1550126,2026-09-11T18:45:00+00:00,Venezia,Fiorentina,NO,,,,
2026-09-11T13:06:24Z,Italy,Serie A,135,1550119,2026-09-12T13:00:00+00:00,Genoa,Frosinone,NO,,,,
2026-09-11T13:06:24Z,Italy,Serie A,135,1550121,2026-09-12T16:00:00+00:00,Lazio,AC Milan,NO,,,,
2026-09-11T13:06:24Z,Germany,Bundesliga,78,1575164,2026-09-11T18:30:00+00:00,Union Berlin,FC Schalke 04,NO,,,,
2026-09-11T13:06:24Z,Germany,Bundesliga,78,1575161,2026-09-12T13:30:00+00:00,SC Freiburg,Borussia Mönchengladbach,NO,,,,
2026-09-11T13:06:24Z,Germany,Bundesliga,78,1575163,2026-09-12T13:30:00+00:00,FSV Mainz 05,Eintracht Frankfurt,NO,,,,
2026-09-11T13:06:24Z,France,Ligue 1,61,1552763,2026-09-11T18:45:00+00:00,Rennes,Marseille,NO,,,,
2026-09-11T13:06:24Z,France,Ligue 1,61,1552764,2026-09-12T15:15:00+00:00,Strasbourg,Monaco,NO,,,,
2026-09-11T13:06:24Z,France,Ligue 1,61,1552761,2026-09-12T18:45:00+00:00,Lorient,Toulouse,NO,,,,
2026-09-11T13:06:24Z,Austria,Austrian Bundesliga,218,1561926,2026-09-11T17:30:00+00:00,Ried,Red Bull Salzburg,NO,,,,
2026-09-11T13:06:24Z,Austria,Austrian Bundesliga,218,1561924,2026-09-12T15:00:00+00:00,SCR Altach,Grazer AK,NO,,,,
2026-09-11T13:06:24Z,Austria,Austrian Bundesliga,218,1561929,2026-09-12T17:30:00+00:00,Wolfsberger AC,Rapid Vienna,NO,,,,
2026-09-11T13:06:24Z,Belgium,Belgian Pro League,144,1558626,2026-09-11T18:45:00+00:00,KV Mechelen,Anderlecht,NO,,,,
2026-09-11T13:06:24Z,Belgium,Belgian Pro League,144,1558627,2026-09-12T14:00:00+00:00,SK Beveren,St. Truiden,NO,,,,
2026-09-11T13:06:24Z,Belgium,Belgian Pro League,144,1558628,2026-09-12T16:15:00+00:00,KVC Westerlo,Standard Liege,NO,,,,
2026-09-11T13:06:24Z,Denmark,Danish Superliga,119,1549016,2026-09-11T17:00:00+00:00,FC Copenhagen,AC Horsens,NO,,,,
2026-09-11T13:06:24Z,Denmark,Danish Superliga,119,1549017,2026-09-13T12:00:00+00:00,Lyngby,Sonderjyske,NO,,,,
2026-09-11T13:06:24Z,Denmark,Danish Superliga,119,1549021,2026-09-13T12:00:00+00:00,Silkeborg,Viborg,NO,,,,
2026-09-11T13:06:24Z,Lithuania,A Lyga,362,1547629,2026-09-13T11:30:00+00:00,Panevėžys,Kauno Žalgiris,NO,,,,
2026-09-11T13:06:24Z,Lithuania,A Lyga,362,1547631,2026-09-13T14:00:00+00:00,Šiauliai,Hegelmann Litauen,NO,,,,
