fixture_id,provider_league_id,league_name,season,round,kickoff_utc,home_team,away_team,source_status,first_queued_at_utc,last_seen_at_utc,backlog_status,captured_at_utc,queue_source,attempt_count,last_attempt_at_utc,last_attempt_result
1547634,362,A Lyga,2026,Regular Season - 32,2026-07-18T16:00:00+00:00,Kauno Žalgiris,Šiauliai,FT,2026-09-17T07:32:13Z,2026-09-19T23:27:33Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1515890,365,Virsliga,2026,Regular Season - 24,2026-07-26T15:30:00+00:00,FS Jelgava,FK Liepaja,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1515892,365,Virsliga,2026,Regular Season - 24,2026-07-26T16:00:00+00:00,Auda,BFC Daugavpils,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1515891,365,Virsliga,2026,Regular Season - 24,2026-07-27T15:00:00+00:00,Tukums,Rīgas FS,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1515893,365,Virsliga,2026,Regular Season - 24,2026-07-27T16:00:00+00:00,Grobiņa,Ogre United,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1515894,365,Virsliga,2026,Regular Season - 25,2026-08-01T13:00:00+00:00,BFC Daugavpils,FS Jelgava,FT,2026-09-16T07:31:39Z,2026-09-17T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1515895,365,Virsliga,2026,Regular Season - 25,2026-08-02T13:00:00+00:00,Tukums,FK Liepaja,FT,2026-09-16T07:31:39Z,2026-09-17T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1515896,365,Virsliga,2026,Regular Season - 25,2026-08-02T15:00:00+00:00,Riga,Grobiņa,FT,2026-09-16T07:31:39Z,2026-09-17T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1547600,362,A Lyga,2026,Regular Season - 25,2026-08-02T15:45:00+00:00,Hegelmann Litauen,TransINVEST Vilnius,FT,2026-09-15T16:55:09Z,2026-09-17T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1547602,362,A Lyga,2026,Regular Season - 25,2026-08-03T15:45:00+00:00,Šiauliai,Banga,FT,2026-09-15T16:55:09Z,2026-09-17T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1547603,362,A Lyga,2026,Regular Season - 25,2026-08-03T16:30:00+00:00,Panevėžys,Džiugas Telšiai,FT,2026-09-15T16:55:09Z,2026-09-17T04:55:20Z,PENDING,,current_round_terminal_fixture,3,2026-09-19T08:53:16Z,NO_DATA
1553127,106,Ekstraklasa,2026,Regular Season - 3,2026-08-07T18:30:00+00:00,Wisla Krakow,Wisla Plock,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,CAPTURED,2026-09-18T00:55:54Z,current_round_terminal_fixture,1,2026-09-18T00:55:54Z,CAPTURED
1553124,106,Ekstraklasa,2026,Regular Season - 3,2026-08-08T12:45:00+00:00,Radomiak Radom,Gornik Zabrze,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,CAPTURED,2026-09-18T04:53:44Z,current_round_terminal_fixture,1,2026-09-18T04:53:44Z,CAPTURED
1553123,106,Ekstraklasa,2026,Regular Season - 3,2026-08-08T15:30:00+00:00,Pogon Szczecin,Motor Lublin,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,CAPTURED,2026-09-18T04:53:44Z,current_round_terminal_fixture,1,2026-09-18T04:53:44Z,CAPTURED
1553121,106,Ekstraklasa,2026,Regular Season - 3,2026-08-08T18:15:00+00:00,Korona Kielce,Legia Warszawa,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,CAPTURED,2026-09-18T04:53:44Z,current_round_terminal_fixture,1,2026-09-18T04:53:44Z,CAPTURED
1553126,106,Ekstraklasa,2026,Regular Season - 3,2026-08-09T12:45:00+00:00,Slask Wroclaw,Cracovia Krakow,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,CAPTURED,2026-09-18T04:53:44Z,current_round_terminal_fixture,1,2026-09-18T04:53:44Z,CAPTURED
1553122,106,Ekstraklasa,2026,Regular Season - 3,2026-08-09T15:30:00+00:00,Lech Poznan,Piast Gliwice,FT,2026-09-15T16:55:09Z,2026-09-16T04:55:20Z,CAPTURED,2026-09-18T19:28:18Z,current_round_terminal_fixture,1,2026-09-18T19:28:18Z,CAPTURED
