player_id,latest_international_player_name,international_evidence_rows,international_fixture_count,international_team_count,international_team_ids,international_team_names,first_international_kickoff_utc,last_international_kickoff_utc,appearance_fixture_count,minutes_confirmed_fixture_count,confirmed_minutes_total,substitute_appearance_fixture_count,pbk_catalog_match_status,pbk_catalog_identity_method,pbk_latest_observed_name,pbk_latest_observed_position,pbk_first_seen_at_utc,pbk_last_seen_at_utc,pbk_has_roster_evidence,pbk_has_match_stats_evidence,pbk_latest_roster_team_ids,pbk_latest_roster_team_names,transfermarkt_identity_status,transfermarkt_player_id,transfermarkt_player_name,transfermarkt_mapping_method,transfermarkt_mapping_confidence,transfermarkt_match_status,club_at_fixture_date_status,identity_contract,fuzzy_matching_used,name_used_for_identity,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
5,Manuel Akanji,1,1,1,15,Switzerland,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,90,0,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,M. Akanji,Defender,2026-09-17T02:25:30Z,2026-09-17T02:25:30Z,YES,NO,505,Inter,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
20,Axel Witsel,1,1,1,1,Belgium,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,30,1,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,A. Witsel,Midfielder,2026-09-18T02:26:09Z,2026-09-18T02:26:09Z,YES,NO,84,Nice,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
22,Jacob Bruun Larsen,1,1,1,21,Denmark,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,0,0,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
33,Lucas Hernández,1,1,1,2,France,2025-11-16T17:00:00+00:00,2025-11-16T17:00:00+00:00,1,1,90,0,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,L. Hernández,Defender,2026-09-18T04:24:42Z,2026-09-18T04:24:42Z,YES,NO,85,Paris Saint Germain,SAFE_AUTO_HIGH,281963,Lucas Hernández,EXACT_PROFILE_NAME_DOB_CURRENT_CLUB,HIGH,AUTO_MATCH,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
69,Brandon Mechele,1,1,1,1,Belgium,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,90,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
74,Sofyan Amrabat,1,1,1,31,Morocco,2025-11-18T19:00:00+00:00,2025-11-18T19:00:00+00:00,1,1,64,0,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,S. Amrabat,M,2026-09-18T19:28:18Z,2026-09-18T19:28:18Z,NO,YES,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
76,Marvelous Nakamba,1,1,1,1522,Zimbabwe,2025-11-17T16:30:00+00:00,2025-11-17T16:30:00+00:00,1,1,90,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
78,Hans Vanaken,1,1,1,1,Belgium,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,75,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
86,Loïs Openda,1,1,1,1,Belgium,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,30,1,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,L. Openda,Attacker,2026-09-17T04:26:21Z,2026-09-17T04:26:21Z,YES,NO,80,Lyon,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
107,Sofiane Diop,1,1,1,31,Morocco,2025-11-18T19:00:00+00:00,2025-11-18T19:00:00+00:00,1,1,15,1,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,S. Diop,Midfielder,2026-09-18T02:26:09Z,2026-09-18T02:26:09Z,YES,NO,84,Nice,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
116,Khéphren Thuram,1,1,1,2,France,2025-11-16T17:00:00+00:00,2025-11-16T17:00:00+00:00,1,1,90,0,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,K. Thuram,Midfielder,2026-09-18T04:24:42Z,2026-09-18T04:24:42Z,YES,NO,496,Juventus,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
121,Stevan Jovetić,1,1,1,1109,Montenegro,2025-11-17T19:45:00+00:00,2025-11-17T19:45:00+00:00,1,1,62,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
174,Christian Eriksen,1,1,1,21,Denmark,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,0,0,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
184,Harry Kane,1,1,1,10,England,2025-11-16T17:00:00+00:00,2025-11-16T17:00:00+00:00,1,1,90,0,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,H. Kane,F,2026-09-16T02:25:20Z,2026-09-18T20:52:33Z,YES,YES,157,Bayern München,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
186,Heung-min Son,1,1,1,17,South Korea,2025-11-18T11:00:00+00:00,2025-11-18T11:00:00+00:00,1,1,62,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
198,Milan Škriniar,1,1,1,773,Slovakia,2025-11-17T19:45:00+00:00,2025-11-17T19:45:00+00:00,1,1,90,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
