fixture_id,provider_league_id,league_name,season,round,kickoff_utc,observed_at_utc,team_id,team_name,side,opponent_name,shots_total,shots_on_goal,shots_off_goal,shots_insidebox,shots_outsidebox,blocked_shots,possession_pct,corners,offsides,fouls,yellow_cards,red_cards,goalkeeper_saves,passes_total,passes_accurate,passes_accuracy_pct,expected_goals,source,research_only,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1494768,103,Eliteserien,2026,Regular Season - 22,2026-09-18T17:00:00+00:00,2026-09-18T20:28:12Z,2143,KFUM Oslo,AWAY,Sarpsborg 08 FF,10,4,4,6,4,2,43,1,0,9,2,0,6,428,340,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1494768,103,Eliteserien,2026,Regular Season - 22,2026-09-18T17:00:00+00:00,2026-09-18T20:28:12Z,333,Sarpsborg 08 FF,HOME,KFUM Oslo,22,8,9,16,6,5,57,11,4,7,1,0,1,545,466,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1549024,119,Superliga,2026,Regular Season - 9,2026-09-18T17:00:00+00:00,2026-09-18T20:28:12Z,2073,Silkeborg,AWAY,Lyngby,13,6,4,6,7,3,54,1,2,14,2,0,2,595,502,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1549024,119,Superliga,2026,Regular Season - 9,2026-09-18T17:00:00+00:00,2026-09-18T20:28:12Z,625,Lyngby,HOME,Silkeborg,7,2,3,4,3,2,46,7,2,9,2,1,2,471,382,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1552173,88,Eredivisie,2026,Regular Season - 7,2026-09-18T18:00:00+00:00,2026-09-18T20:28:12Z,193,PEC Zwolle,AWAY,Groningen,9,1,2,4,5,6,48,6,,11,2,0,4,452,372,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1552173,88,Eredivisie,2026,Regular Season - 7,2026-09-18T18:00:00+00:00,2026-09-18T20:28:12Z,202,Groningen,HOME,PEC Zwolle,17,7,2,8,9,8,52,5,,7,0,0,1,495,410,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1553179,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T16:30:00+00:00,2026-09-18T20:28:12Z,17115,Wieczysta Kraków,AWAY,Widzew Łódź,13,5,5,9,4,3,46,3,3,9,2,0,4,407,334,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1553179,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T16:30:00+00:00,2026-09-18T20:28:12Z,6962,Widzew Łódź,HOME,Wieczysta Kraków,19,5,9,11,8,5,54,8,1,11,1,0,3,396,317,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1553180,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T18:30:00+00:00,2026-09-18T20:28:12Z,337,Slask Wroclaw,AWAY,Wisla Krakow,5,2,2,4,1,1,46,3,1,16,3,0,4,406,326,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1553180,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T18:30:00+00:00,2026-09-18T20:28:12Z,338,Wisla Krakow,HOME,Slask Wroclaw,26,6,13,20,6,7,54,4,1,11,2,0,1,466,386,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1561935,218,Bundesliga,2026,Regular Season - 7,2026-09-18T17:30:00+00:00,2026-09-18T20:28:12Z,1398,WSG Wattens,AWAY,Rapid Vienna,5,1,2,3,2,2,43,3,6,13,2,0,5,409,345,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1561935,218,Bundesliga,2026,Regular Season - 7,2026-09-18T17:30:00+00:00,2026-09-18T20:28:12Z,781,Rapid Vienna,HOME,WSG Wattens,17,7,8,13,4,2,57,6,4,6,4,0,1,552,472,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1570383,140,La Liga,2026,Regular Season - 6,2026-09-15T18:00:00+00:00,2026-09-18T10:34:45Z,532,Valencia,AWAY,Alaves,10,3,2,5,5,5,57,5,4,14,4,,3,475,389,82,0.65,API-Football /fixtures/statistics,true,false,false,false,false,false
1570383,140,La Liga,2026,Regular Season - 6,2026-09-15T18:00:00+00:00,2026-09-18T10:34:45Z,542,Alaves,HOME,Valencia,15,3,8,11,4,4,43,2,3,7,1,,2,344,271,79,1.05,API-Football /fixtures/statistics,true,false,false,false,false,false
1570384,140,La Liga,2026,Regular Season - 6,2026-09-16T17:00:00+00:00,2026-09-18T10:34:45Z,530,Atletico Madrid,HOME,Osasuna,26,11,7,18,8,8,68,8,1,8,1,0,1,657,581,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1570384,140,La Liga,2026,Regular Season - 6,2026-09-16T17:00:00+00:00,2026-09-18T10:34:45Z,727,Osasuna,AWAY,Atletico Madrid,3,1,1,3,0,1,32,0,1,12,2,0,7,313,232,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1570385,140,La Liga,2026,Regular Season - 6,2026-09-16T19:30:00+00:00,2026-09-18T10:34:45Z,4665,Racing Santander,AWAY,Barcelona,5,3,2,5,0,0,31,0,2,13,2,0,3,288,226,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1570385,140,La Liga,2026,Regular Season - 6,2026-09-16T19:30:00+00:00,2026-09-18T10:34:45Z,529,Barcelona,HOME,Racing Santander,30,9,15,23,7,6,69,18,3,10,3,0,0,646,589,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1570387,140,La Liga,2026,Regular Season - 6,2026-09-16T17:00:00+00:00,2026-09-18T10:34:45Z,536,Sevilla,AWAY,Deportivo La Coruna,11,6,3,5,6,2,47,4,,16,4,0,3,443,364,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1570387,140,La Liga,2026,Regular Season - 6,2026-09-16T17:00:00+00:00,2026-09-18T10:34:45Z,544,Deportivo La Coruna,HOME,Sevilla,4,3,1,1,3,0,53,4,,15,1,1,5,500,428,,,API-Football /fixtures/statistics,true,false,false,false,false,false
1570388,140,La Liga,2026,Regular Season - 6,2026-09-15T19:30:00+00:00,2026-09-18T10:34:45Z,541,Real Madrid,AWAY,Elche,20,4,11,15,5,5,44,5,5,8,2,,1,430,383,89,3.61,API-Football /fixtures/statistics,true,false,false,false,false,false
1570388,140,La Liga,2026,Regular Season - 6,2026-09-15T19:30:00+00:00,2026-09-18T10:34:45Z,797,Elche,HOME,Real Madrid,11,3,6,7,4,2,56,2,1,21,4,,2,542,493,91,0.78,API-Football /fixtures/statistics,true,false,false,false,false,false
1570391,140,La Liga,2026,Regular Season - 6,2026-09-15T17:00:00+00:00,2026-09-18T10:34:45Z,540,Espanyol,AWAY,Rayo Vallecano,19,5,7,12,7,7,45,5,2,15,1,1,0,361,285,79,1.49,API-Football /fixtures/statistics,true,false,false,false,false,false
1570391,140,La Liga,2026,Regular Season - 6,2026-09-15T17:00:00+00:00,2026-09-18T10:34:45Z,728,Rayo Vallecano,HOME,Espanyol,16,2,10,9,7,4,55,3,0,10,5,0,3,450,370,82,1.52,API-Football /fixtures/statistics,true,false,false,false,false,false
