api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,bet_id,bet_name,line,open_p_f1_0,open_p_f2_0,close_p_f1_0,close_p_f2_0,move_f1_0_pp,move_f2_0_pp,bet365_close_f1_0,bet365_close_f2_0,user_bookmaker,user_close_f1_0,user_close_f2_0,status,note
1575164,Bundesliga,78,2026-09-11T18:41:56Z,2026-09-11T18:30:00Z,2026-09-11T14:47:34Z,222.4,Union Berlin,FC Schalke 04,4,Asian Handicap,0,0.53246753,0.46753247,0.53246753,0.46753247,0.00000000,-0.00000000,1.8,2.05,Marathonbet,1.76,2.07,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1561926,Austrian Bundesliga,218,2026-09-11T18:41:56Z,2026-09-11T17:30:00Z,2026-09-11T14:47:34Z,162.4,Ried,Red Bull Salzburg,4,Asian Handicap,0,0.21428571,0.78571429,0.22161172,0.77838828,0.00732601,-0.00732601,4.25,1.21,Marathonbet,4.1,1.16,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1549016,Danish Superliga,119,2026-09-11T18:41:56Z,2026-09-11T17:00:00Z,2026-09-11T14:47:34Z,132.4,FC Copenhagen,AC Horsens,4,Asian Handicap,0,0.84803256,0.15196744,0.84803256,0.15196744,0.00000000,-0.00000000,1.12,6.25,Marathonbet,1.04,6.85,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1515921,Virsliga,365,2026-09-11T18:41:56Z,2026-09-11T15:00:00Z,2026-09-11T14:47:34Z,12.4,Riga,Auda,4,Asian Handicap,0,0.82706767,0.17293233,0.82706767,0.17293233,-0.00000000,0.00000000,1.15,5.5,Marathonbet,1.07,5.85,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1553168,Ekstraklasa,106,2026-09-11T18:41:56Z,2026-09-11T16:00:00Z,2026-09-11T14:47:34Z,72.4,Raków Częstochowa,Motor Lublin,4,Asian Handicap,0,0.64891041,0.35108959,0.64891041,0.35108959,0.00000000,-0.00000000,1.45,2.68,Marathonbet,1.4,2.56,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1553170,Ekstraklasa,106,2026-09-11T18:41:56Z,2026-09-11T18:30:00Z,2026-09-11T14:47:34Z,222.4,Wisla Krakow,Jagiellonia,4,Asian Handicap,0,0.58139535,0.41860465,0.56135770,0.43864230,-0.02003765,0.02003765,1.68,2.15,Marathonbet,1.7,2.06,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1584405,Super Lig,203,2026-09-11T18:41:56Z,2026-09-11T17:00:00Z,2026-09-11T14:47:34Z,132.4,Beşiktaş,Erzurumspor FK,4,Asian Handicap,0,0.86075949,0.13924051,0.86075949,0.13924051,0.00000000,-0.00000000,1.1,6.8,Marathonbet,1.01,8.5,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1570381,La Liga,140,2026-09-12T00:43:08Z,2026-09-11T19:00:00Z,2026-09-11T18:41:56Z,18.1,Sevilla,Valencia,4,Asian Handicap,0,0.68493151,0.31506849,0.68493151,0.31506849,-0.00000000,0.00000000,1.38,3.0,Marathonbet,1.4,2.96,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1550126,Serie A,135,2026-09-12T00:43:08Z,2026-09-11T18:45:00Z,2026-09-11T18:41:56Z,3.1,Venezia,Fiorentina,4,Asian Handicap,0,0.46753247,0.53246753,0.46753247,0.53246753,-0.00000000,0.00000000,2.05,1.8,Marathonbet,2.0,1.81,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1552763,Ligue 1,61,2026-09-12T00:43:08Z,2026-09-11T18:45:00Z,2026-09-11T18:41:56Z,3.1,Rennes,Marseille,4,Asian Handicap,0,0.63725490,0.36274510,0.63725490,0.36274510,0.00000000,-0.00000000,1.48,2.6,Marathonbet,1.52,2.53,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1558626,Belgian Pro League,144,2026-09-12T00:43:08Z,2026-09-11T18:45:00Z,2026-09-11T18:41:56Z,3.1,KV Mechelen,Anderlecht,4,Asian Handicap,0,0.30337079,0.69662921,0.30337079,0.69662921,-0.00000000,0.00000000,3.1,1.35,Marathonbet,3.04,1.29,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1570378,La Liga,140,2026-09-12T12:42:44Z,2026-09-12T12:00:00Z,2026-09-12T06:42:52Z,317.1,Racing Santander,Alaves,4,Asian Handicap,0,0.52604167,0.47395833,0.54123711,0.45876289,0.01519544,-0.01519544,1.78,2.1,Marathonbet,1.81,2.0,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1515920,Virsliga,365,2026-09-12T12:42:44Z,2026-09-12T11:00:00Z,2026-09-12T06:42:52Z,257.1,Grobiņa,FS Jelgava,4,Asian Handicap,0,0.47894737,0.52105263,0.53157895,0.46842105,0.05263158,-0.05263158,1.78,2.02,Marathonbet,1.71,1.98,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
