api_fixture_id,captured_at_utc,country,league,api_league_id,kickoff_utc,home_team_id,home_team,away_team_id,away_team,b365_home,b365_draw,b365_away,api_update_utc,source,fixture_status_at_capture
1557398,2026-09-11T12:29:59Z,England,Premier League,39,2026-09-12T14:00:00+00:00,35,Bournemouth,55,Brentford,2.5,3.6,2.75,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1557403,2026-09-11T12:29:59Z,England,Premier League,39,2026-09-12T14:00:00+00:00,40,Liverpool,36,Fulham,1.42,5.0,6.25,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1557399,2026-09-11T12:29:59Z,England,Premier League,39,2026-09-12T14:00:00+00:00,49,Chelsea,64,Hull City,1.22,6.5,11.0,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1557401,2026-09-11T12:29:59Z,England,Premier League,39,2026-09-12T14:00:00+00:00,52,Crystal Palace,57,Ipswich,1.85,3.8,3.9,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1557397,2026-09-11T12:29:59Z,England,Premier League,39,2026-09-12T14:00:00+00:00,66,Aston Villa,65,Nottingham Forest,2.25,3.4,3.2,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1570381,2026-09-11T12:29:59Z,Spain,La Liga,140,2026-09-11T19:00:00+00:00,536,Sevilla,532,Valencia,1.95,3.4,4.1,2026-09-11T12:00:44+00:00,Stage71 first complete Bet365 1X2 capture,
1570378,2026-09-11T12:29:59Z,Spain,La Liga,140,2026-09-12T12:00:00+00:00,4665,Racing Santander,542,Alaves,2.45,3.5,2.75,2026-09-11T09:48:15+00:00,Stage71 first complete Bet365 1X2 capture,
1570377,2026-09-11T12:29:59Z,Spain,La Liga,140,2026-09-12T14:15:00+00:00,727,Osasuna,540,Espanyol,2.15,3.2,3.6,2026-09-11T09:48:15+00:00,Stage71 first complete Bet365 1X2 capture,
1570373,2026-09-11T12:29:59Z,Spain,La Liga,140,2026-09-12T16:30:00+00:00,531,Athletic Club,797,Elche,1.4,4.75,7.5,2026-09-11T09:48:15+00:00,Stage71 first complete Bet365 1X2 capture,
1570379,2026-09-11T12:29:59Z,Spain,La Liga,140,2026-09-12T19:00:00+00:00,541,Real Madrid,728,Rayo Vallecano,1.11,9.5,19.0,2026-09-11T09:48:15+00:00,Stage71 first complete Bet365 1X2 capture,
1575164,2026-09-11T12:29:59Z,Germany,Bundesliga,78,2026-09-11T18:30:00+00:00,182,Union Berlin,174,FC Schalke 04,2.45,3.5,2.8,2026-09-11T12:00:44+00:00,Stage71 first complete Bet365 1X2 capture,
1575161,2026-09-11T12:29:59Z,Germany,Bundesliga,78,2026-09-12T13:30:00+00:00,160,SC Freiburg,163,Borussia Mönchengladbach,1.67,4.33,4.5,2026-09-11T09:52:15+00:00,Stage71 first complete Bet365 1X2 capture,
1575163,2026-09-11T12:29:59Z,Germany,Bundesliga,78,2026-09-12T13:30:00+00:00,164,FSV Mainz 05,169,Eintracht Frankfurt,1.95,4.0,3.4,2026-09-11T09:52:15+00:00,Stage71 first complete Bet365 1X2 capture,
1575158,2026-09-11T12:29:59Z,Germany,Bundesliga,78,2026-09-12T13:30:00+00:00,165,Borussia Dortmund,185,SC Paderborn 07,1.25,6.5,10.0,2026-09-11T09:52:15+00:00,Stage71 first complete Bet365 1X2 capture,
1575160,2026-09-11T12:29:59Z,Germany,Bundesliga,78,2026-09-12T13:30:00+00:00,167,1899 Hoffenheim,172,VfB Stuttgart,2.35,4.0,2.62,2026-09-11T09:52:15+00:00,Stage71 first complete Bet365 1X2 capture,
1552763,2026-09-11T12:29:59Z,France,Ligue 1,61,2026-09-11T18:45:00+00:00,94,Rennes,81,Marseille,1.95,4.0,3.4,2026-09-11T12:00:44+00:00,Stage71 first complete Bet365 1X2 capture,
1552764,2026-09-11T12:29:59Z,France,Ligue 1,61,2026-09-12T15:15:00+00:00,95,Strasbourg,91,Monaco,3.1,3.75,2.15,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1552761,2026-09-11T12:29:59Z,France,Ligue 1,61,2026-09-12T18:45:00+00:00,97,Lorient,96,Toulouse,2.62,3.25,2.75,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1552756,2026-09-11T12:29:59Z,France,Ligue 1,61,2026-09-12T18:45:00+00:00,108,Auxerre,84,Nice,2.62,3.3,2.75,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1552758,2026-09-11T12:29:59Z,France,Ligue 1,61,2026-09-12T18:45:00+00:00,111,Le Havre,77,Angers,2.55,3.2,2.88,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1561926,2026-09-11T12:29:59Z,Austria,Austrian Bundesliga,218,2026-09-11T17:30:00+00:00,1028,Ried,571,Red Bull Salzburg,5.5,4.5,1.53,2026-09-11T12:00:44+00:00,Stage71 first complete Bet365 1X2 capture,
1561924,2026-09-11T12:29:59Z,Austria,Austrian Bundesliga,218,2026-09-12T15:00:00+00:00,618,SCR Altach,4256,Grazer AK,2.15,3.3,3.4,2026-09-11T09:31:18+00:00,Stage71 first complete Bet365 1X2 capture,
1561929,2026-09-11T12:29:59Z,Austria,Austrian Bundesliga,218,2026-09-12T17:30:00+00:00,1025,Wolfsberger AC,781,Rapid Vienna,4.75,3.9,1.7,2026-09-11T09:31:18+00:00,Stage71 first complete Bet365 1X2 capture,
1561925,2026-09-11T12:29:59Z,Austria,Austrian Bundesliga,218,2026-09-13T12:30:00+00:00,601,Austria Vienna,1399,Austria Lustenau,1.85,3.7,3.9,2026-09-11T09:31:18+00:00,Stage71 first complete Bet365 1X2 capture,
1561928,2026-09-11T12:29:59Z,Austria,Austrian Bundesliga,218,2026-09-13T12:30:00+00:00,1398,WSG Wattens,1072,TSV Hartberg,2.15,3.5,3.2,2026-09-11T09:31:18+00:00,Stage71 first complete Bet365 1X2 capture,
1558626,2026-09-11T12:29:59Z,Belgium,Belgian Pro League,144,2026-09-11T18:45:00+00:00,266,KV Mechelen,554,Anderlecht,4.0,3.7,1.75,2026-09-11T09:24:14+00:00,Stage71 first complete Bet365 1X2 capture,
1558627,2026-09-11T12:29:59Z,Belgium,Belgian Pro League,144,2026-09-12T14:00:00+00:00,738,SK Beveren,735,St. Truiden,3.0,3.3,2.15,2026-09-11T09:24:14+00:00,Stage71 first complete Bet365 1X2 capture,
1558628,2026-09-11T12:29:59Z,Belgium,Belgian Pro League,144,2026-09-12T16:15:00+00:00,261,KVC Westerlo,733,Standard Liege,2.45,3.4,2.55,2026-09-11T09:24:14+00:00,Stage71 first complete Bet365 1X2 capture,
1558629,2026-09-11T12:29:59Z,Belgium,Belgian Pro League,144,2026-09-12T18:45:00+00:00,260,OH Leuven,741,Cercle Brugge,2.5,3.4,2.5,2026-09-11T09:24:14+00:00,Stage71 first complete Bet365 1X2 capture,
1558630,2026-09-11T12:29:59Z,Belgium,Belgian Pro League,144,2026-09-12T18:45:00+00:00,1393,Union St. Gilloise,259,Lommel United,1.2,5.5,10.0,2026-09-11T09:24:14+00:00,Stage71 first complete Bet365 1X2 capture,
1549016,2026-09-11T12:29:59Z,Denmark,Danish Superliga,119,2026-09-11T17:00:00+00:00,400,FC Copenhagen,404,AC Horsens,1.33,5.5,8.0,2026-09-11T12:00:44+00:00,Stage71 first complete Bet365 1X2 capture,
1549017,2026-09-11T12:29:59Z,Denmark,Danish Superliga,119,2026-09-13T12:00:00+00:00,625,Lyngby,396,Sonderjyske,1.62,4.1,4.75,2026-09-11T08:59:15+00:00,Stage71 first complete Bet365 1X2 capture,
1549021,2026-09-11T12:29:59Z,Denmark,Danish Superliga,119,2026-09-13T12:00:00+00:00,2073,Silkeborg,2070,Viborg,3.75,4.0,1.83,2026-09-11T08:59:15+00:00,Stage71 first complete Bet365 1X2 capture,
1549020,2026-09-11T12:29:59Z,Denmark,Danish Superliga,119,2026-09-13T14:00:00+00:00,401,Randers FC,405,Odense,2.2,3.4,3.2,2026-09-11T08:59:15+00:00,Stage71 first complete Bet365 1X2 capture,
1549019,2026-09-11T12:29:59Z,Denmark,Danish Superliga,119,2026-09-13T16:00:00+00:00,398,FC Nordsjaelland,406,Aarhus,1.8,4.0,3.9,2026-09-11T08:59:15+00:00,Stage71 first complete Bet365 1X2 capture,
1547629,2026-09-11T12:29:59Z,Lithuania,A Lyga,362,2026-09-13T11:30:00+00:00,3874,Panevėžys,3872,Kauno Žalgiris,4.75,3.9,1.55,2026-09-11T03:07:13+00:00,Stage71 first complete Bet365 1X2 capture,
1547631,2026-09-11T12:29:59Z,Lithuania,A Lyga,362,2026-09-13T14:00:00+00:00,3870,Šiauliai,3861,Hegelmann Litauen,2.5,3.5,2.35,2026-09-11T03:07:13+00:00,Stage71 first complete Bet365 1X2 capture,
1547630,2026-09-11T12:29:59Z,Lithuania,A Lyga,362,2026-09-13T15:45:00+00:00,612,Suduva Marijampole,586,FK Zalgiris Vilnius,2.55,3.3,2.38,2026-09-11T03:07:13+00:00,Stage71 first complete Bet365 1X2 capture,
1547633,2026-09-11T12:29:59Z,Lithuania,A Lyga,362,2026-09-14T15:45:00+00:00,3858,Banga,18878,TransINVEST Vilnius,2.5,3.4,2.4,2026-09-11T03:07:13+00:00,Stage71 first complete Bet365 1X2 capture,
1515923,2026-09-11T12:29:59Z,Latvia,Virsliga,365,2026-09-11T14:00:00+00:00,18936,Ogre United,661,FK Liepaja,4.0,4.0,1.6,2026-09-11T12:29:15+00:00,Stage71 first complete Bet365 1X2 capture,
1515921,2026-09-11T12:29:59Z,Latvia,Virsliga,365,2026-09-11T15:00:00+00:00,10124,Riga,4135,Auda,1.33,4.75,6.5,2026-09-11T12:29:15+00:00,Stage71 first complete Bet365 1X2 capture,
1515920,2026-09-11T12:29:59Z,Latvia,Virsliga,365,2026-09-12T11:00:00+00:00,4138,Grobiņa,18834,FS Jelgava,2.6,3.2,2.4,2026-09-11T12:29:15+00:00,Stage71 first complete Bet365 1X2 capture,
1515922,2026-09-11T12:29:59Z,Latvia,Virsliga,365,2026-09-13T11:00:00+00:00,4149,BFC Daugavpils,4160,Rīgas FS,7.5,5.0,1.28,2026-09-11T12:29:15+00:00,Stage71 first complete Bet365 1X2 capture,
1552162,2026-09-11T12:29:59Z,Netherlands,Eredivisie,88,2026-09-11T18:00:00+00:00,201,AZ Alkmaar,195,Willem II,1.14,8.5,15.0,2026-09-11T12:00:44+00:00,Stage71 first complete Bet365 1X2 capture,
1552163,2026-09-11T12:29:59Z,Netherlands,Eredivisie,88,2026-09-12T14:30:00+00:00,415,Twente,198,ADO Den Haag,1.25,7.0,10.0,2026-09-11T09:09:24+00:00,Stage71 first complete Bet365 1X2 capture,
1552164,2026-09-11T12:29:59Z,Netherlands,Eredivisie,88,2026-09-12T16:45:00+00:00,410,GO Ahead Eagles,202,Groningen,2.3,4.0,2.7,2026-09-11T09:09:24+00:00,Stage71 first complete Bet365 1X2 capture,
1552165,2026-09-11T12:29:59Z,Netherlands,Eredivisie,88,2026-09-12T18:00:00+00:00,205,Fortuna Sittard,194,Ajax,5.75,5.25,1.44,2026-09-11T09:09:24+00:00,Stage71 first complete Bet365 1X2 capture,
1552168,2026-09-11T12:29:59Z,Netherlands,Eredivisie,88,2026-09-12T19:00:00+00:00,420,Cambuur,413,NEC Nijmegen,5.0,5.0,1.53,2026-09-11T09:09:24+00:00,Stage71 first complete Bet365 1X2 capture,
1494760,2026-09-11T12:29:59Z,Norway,Eliteserien,103,2026-09-12T14:00:00+00:00,321,Lillestrom,326,Valerenga,1.9,3.9,3.6,2026-09-11T08:15:49+00:00,Stage71 first complete Bet365 1X2 capture,
1494761,2026-09-11T12:29:59Z,Norway,Eliteserien,103,2026-09-12T16:00:00+00:00,331,Rosenborg,325,Tromso,1.7,3.75,4.75,2026-09-11T08:15:49+00:00,Stage71 first complete Bet365 1X2 capture,
1494763,2026-09-11T12:29:59Z,Norway,Eliteserien,103,2026-09-13T12:30:00+00:00,759,Viking,320,Kristiansund BK,1.25,7.0,8.0,2026-09-11T02:10:15+00:00,Stage71 first complete Bet365 1X2 capture,
1494762,2026-09-11T12:29:59Z,Norway,Eliteserien,103,2026-09-13T15:00:00+00:00,334,Start,319,Brann,3.4,3.75,2.0,2026-09-11T02:10:15+00:00,Stage71 first complete Bet365 1X2 capture,
1494759,2026-09-11T12:29:59Z,Norway,Eliteserien,103,2026-09-13T15:00:00+00:00,2143,KFUM Oslo,757,Aalesund,2.4,3.7,2.62,2026-09-11T02:10:15+00:00,Stage71 first complete Bet365 1X2 capture,
1553168,2026-09-11T12:29:59Z,Poland,Ekstraklasa,106,2026-09-11T16:00:00+00:00,3491,Raków Częstochowa,14562,Motor Lublin,1.85,3.6,3.6,2026-09-11T12:00:44+00:00,Stage71 first complete Bet365 1X2 capture,
1553170,2026-09-11T12:29:59Z,Poland,Ekstraklasa,106,2026-09-11T18:30:00+00:00,338,Wisla Krakow,336,Jagiellonia,2.25,3.6,2.7,2026-09-11T12:00:44+00:00,Stage71 first complete Bet365 1X2 capture,
1553169,2026-09-11T12:29:59Z,Poland,Ekstraklasa,106,2026-09-12T12:45:00+00:00,337,Slask Wroclaw,346,Korona Kielce,2.6,3.25,2.5,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1553164,2026-09-11T12:29:59Z,Poland,Ekstraklasa,106,2026-09-12T15:30:00+00:00,340,Gornik Zabrze,347,Lech Poznan,2.75,3.4,2.3,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1553172,2026-09-11T12:29:59Z,Poland,Ekstraklasa,106,2026-09-12T18:15:00+00:00,345,Zaglebie Lubin,3484,GKS Katowice,2.6,3.25,2.5,2026-09-11T08:15:48+00:00,Stage71 first complete Bet365 1X2 capture,
1575498,2026-09-11T12:29:59Z,Portugal,Primeira Liga,94,2026-09-12T14:30:00+00:00,225,Nacional,4724,Alverca,2.62,3.4,2.7,2026-09-11T08:15:49+00:00,Stage71 first complete Bet365 1X2 capture,
1575495,2026-09-11T12:29:59Z,Portugal,Primeira Liga,94,2026-09-12T17:00:00+00:00,4716,Casa Pia,212,FC Porto,10.0,6.0,1.25,2026-09-11T08:15:49+00:00,Stage71 first complete Bet365 1X2 capture,
1575491,2026-09-11T12:29:59Z,Portugal,Primeira Liga,94,2026-09-12T19:30:00+00:00,238,Academico Viseu,224,Vitória SC,3.7,3.4,2.05,2026-09-11T08:15:49+00:00,Stage71 first complete Bet365 1X2 capture,
1575493,2026-09-11T12:29:59Z,Portugal,Primeira Liga,94,2026-09-13T17:00:00+00:00,211,Benfica,762,GIL Vicente,1.17,7.0,17.0,2026-09-11T00:30:25+00:00,Stage71 first complete Bet365 1X2 capture,
1575492,2026-09-11T12:29:59Z,Portugal,Primeira Liga,94,2026-09-13T17:00:00+00:00,240,Arouca,227,Santa Clara,2.62,3.2,2.75,2026-09-11T00:30:25+00:00,Stage71 first complete Bet365 1X2 capture,
1584405,2026-09-11T12:29:59Z,Turkey,Super Lig,203,2026-09-11T17:00:00+00:00,549,Beşiktaş,1009,Erzurumspor FK,1.22,5.75,11.0,2026-09-11T12:00:44+00:00,Stage71 first complete Bet365 1X2 capture,
1584406,2026-09-11T12:29:59Z,Turkey,Super Lig,203,2026-09-12T14:00:00+00:00,3588,Eyüpspor,1007,Rizespor,3.9,3.4,1.9,2026-09-11T10:07:14+00:00,Stage71 first complete Bet365 1X2 capture,
1584411,2026-09-11T12:29:59Z,Turkey,Super Lig,203,2026-09-12T14:00:00+00:00,3603,Samsunspor,6343,Çorum FK,2.0,3.4,3.5,2026-09-11T10:07:14+00:00,Stage71 first complete Bet365 1X2 capture,
1584410,2026-09-11T12:29:59Z,Turkey,Super Lig,203,2026-09-12T17:00:00+00:00,607,Konyaspor,998,Trabzonspor,3.6,3.5,1.95,2026-09-11T10:07:14+00:00,Stage71 first complete Bet365 1X2 capture,
