provider_league_id,competition_name,candidate_family,season,season_start,season_end,evidence_tier,fixture_backfill_priority,direct_matchday_squad_evidence_possible,direct_minutes_evidence_possible,player_evidence_backfill_eligible,status,attempt_count,last_attempt_at_utc,fixture_rows,finished_fixture_rows,error
1,World Cup,WORLD_CUP,2026,2026-06-11,2026-07-19,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:40Z,104,104,
10,Friendlies,FRIENDLIES,2026,2026-01-01,2026-11-17,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:42Z,715,551,
30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,2026,2023-10-12,2025-11-18,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:44Z,226,225,
31,World Cup - Qualification CONCACAF,WORLD_CUP_QUALIFICATION,2026,2024-03-22,2025-11-19,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:47Z,100,100,
34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2026,2023-09-07,2025-09-09,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:49Z,90,90,
37,World Cup - Qualification Intercontinental Play-offs,WORLD_CUP_QUALIFICATION,2026,2026-03-26,2026-03-31,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:50Z,4,4,
6,Africa Cup of Nations,AFRICA_CUP_OF_NATIONS,2025,2025-12-21,2026-01-18,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:51Z,52,51,
10,Friendlies,FRIENDLIES,2025,2025-01-04,2025-12-21,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:53Z,654,633,
22,CONCACAF Gold Cup,GOLD_CUP,2025,2025-06-15,2025-07-06,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:55Z,31,31,
4,Euro Championship,EURO_CHAMPIONSHIP,2024,2024-06-14,2024-07-14,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:57Z,51,51,
5,UEFA Nations League,NATIONS_LEAGUE,2024,2024-09-05,2026-03-31,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:28:59Z,188,188,
9,Copa America,COPA_AMERICA,2024,2024-06-21,2024-07-15,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:29:00Z,32,32,
10,Friendlies,FRIENDLIES,2024,2024-01-01,2024-12-21,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:29:03Z,394,379,
32,World Cup - Qualification Europe,WORLD_CUP_QUALIFICATION,2024,2025-03-21,2026-03-31,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:29:05Z,204,204,
536,CONCACAF Nations League,NATIONS_LEAGUE,2024,2024-09-04,2025-03-24,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:29:09Z,110,110,
6,Africa Cup of Nations,AFRICA_CUP_OF_NATIONS,2023,2024-01-13,2024-02-11,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:29:14Z,52,52,
7,Asian Cup,ASIAN_CUP,2023,2024-01-12,2024-02-10,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:29:15Z,51,51,
10,Friendlies,FRIENDLIES,2023,2023-01-03,2024-01-06,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:29:17Z,408,378,
22,CONCACAF Gold Cup,GOLD_CUP,2023,2023-06-25,2023-07-16,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:29:19Z,31,31,
29,World Cup - Qualification Africa,WORLD_CUP_QUALIFICATION,2023,2023-11-15,2025-11-16,DIRECT_MINUTES,1,true,true,true,CAPTURED,1,2026-09-19T14:29:21Z,273,256,
536,CONCACAF Nations League,NATIONS_LEAGUE,2023,2023-09-07,2024-03-25,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
960,Euro Championship - Qualification,EURO_QUALIFICATION,2023,2023-03-23,2024-03-26,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
1,World Cup,WORLD_CUP,2022,2022-11-20,2022-12-18,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
5,UEFA Nations League,NATIONS_LEAGUE,2022,2022-06-01,2024-03-24,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
10,Friendlies,FRIENDLIES,2022,2022-01-01,2022-12-30,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
29,World Cup - Qualification Africa,WORLD_CUP_QUALIFICATION,2022,2019-09-04,2022-03-29,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
30,World Cup - Qualification Asia,WORLD_CUP_QUALIFICATION,2022,2019-06-06,2022-06-07,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
31,World Cup - Qualification CONCACAF,WORLD_CUP_QUALIFICATION,2022,2021-03-23,2022-03-30,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2022,2020-10-08,2022-03-29,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
37,World Cup - Qualification Intercontinental Play-offs,WORLD_CUP_QUALIFICATION,2022,2022-06-13,2022-06-14,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
536,CONCACAF Nations League,NATIONS_LEAGUE,2022,2022-06-02,2023-06-19,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
6,Africa Cup of Nations,AFRICA_CUP_OF_NATIONS,2021,2022-01-09,2022-02-06,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
9,Copa America,COPA_AMERICA,2021,2021-06-13,2021-07-11,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
22,CONCACAF Gold Cup,GOLD_CUP,2021,2021-07-11,2021-08-02,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
4,Euro Championship,EURO_CHAMPIONSHIP,2020,2019-03-21,2021-07-11,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
5,UEFA Nations League,NATIONS_LEAGUE,2020,2020-09-03,2022-03-28,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
32,World Cup - Qualification Europe,WORLD_CUP_QUALIFICATION,2020,2021-03-24,2022-06-05,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
6,Africa Cup of Nations,AFRICA_CUP_OF_NATIONS,2019,2017-03-22,2019-07-19,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
9,Copa America,COPA_AMERICA,2019,2019-06-15,2019-07-07,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
1,World Cup,WORLD_CUP,2018,2018-06-14,2018-07-15,DIRECT_MINUTES,1,true,true,true,PENDING,0,,,,
