fixture_id,team_id,team_name,kickoff_utc,observed_at_utc,player_id,player_name,position_group,minutes,overall_grade,confidence,coverage_pct,provider_rating_reference,grade_version,components_json,limitations_json,source,research_only,creates_signal,probability_mutation,eligibility_mutation,stake_changes
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,1177,Gustav Valsvik,D,90.0,5.51,HIGH,85.7,6.3,PBK_PLAYER_GRADE_V1,"{""attack"": 5.0, ""creation"": 5.0, ""defending"": 6.46, ""discipline"": 4.44, ""possession"": 2.22, ""pressing"": null, ""progression"": 7.17}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,138732,Fredrik Kristensen Dahl,D,61.0,4.51,MEDIUM,85.7,6.3,PBK_PLAYER_GRADE_V1,"{""attack"": 5.0, ""creation"": 5.84, ""defending"": 4.64, ""discipline"": 6.0, ""possession"": 0.0, ""pressing"": null, ""progression"": 6.55}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,151240,Jesper Taaje,D,61.0,7.03,MEDIUM,85.7,7,PBK_PLAYER_GRADE_V1,"{""attack"": 5.0, ""creation"": 5.0, ""defending"": 9.83, ""discipline"": 6.0, ""possession"": 1.44, ""pressing"": null, ""progression"": 7.48}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,151261,Sivert Eriksen Westerlund,,,,,,,PBK_PLAYER_GRADE_V1,{},"[""NO_MINUTES""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,169190,Kreshnik Krasniqi,M,90.0,4.94,HIGH,85.7,6.9,PBK_PLAYER_GRADE_V1,"{""attack"": 5.55, ""creation"": 5.69, ""defending"": 7.75, ""discipline"": 6.0, ""possession"": 0.0, ""pressing"": null, ""progression"": 6.19}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,265448,Marko Farji,M,29.0,4.66,LOW,85.7,6.9,PBK_PLAYER_GRADE_V1,"{""attack"": 5.0, ""creation"": 8.88, ""defending"": 4.6, ""discipline"": 2.9, ""possession"": 0.0, ""pressing"": null, ""progression"": 5.54}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,28806,Logi Tomasson,M,61.0,4.86,MEDIUM,85.7,6.7,PBK_PLAYER_GRADE_V1,"{""attack"": 6.62, ""creation"": 5.18, ""defending"": 7.27, ""discipline"": 4.11, ""possession"": 0.0, ""pressing"": null, ""progression"": 6.76}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,290983,Nikolaj Möller,F,18.0,5.13,LOW,85.7,6.3,PBK_PLAYER_GRADE_V1,"{""attack"": 5.0, ""creation"": 5.0, ""defending"": 5.0, ""discipline"": 6.0, ""possession"": 5.12, ""pressing"": null, ""progression"": 5.17}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,345593,Andreas Heredia-Randen,,,,,,,PBK_PLAYER_GRADE_V1,{},"[""NO_MINUTES""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,371637,Jonas Therkelsen,M,90.0,3.91,HIGH,85.7,6.5,PBK_PLAYER_GRADE_V1,"{""attack"": 5.25, ""creation"": 5.12, ""defending"": 3.21, ""discipline"": 4.72, ""possession"": 0.0, ""pressing"": null, ""progression"": 5.6}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,39146,Jostein Ekeland,M,16.0,4.16,LOW,85.7,6.6,PBK_PLAYER_GRADE_V1,"{""attack"": 5.0, ""creation"": 5.0, ""defending"": 5.0, ""discipline"": 6.0, ""possession"": 0.0, ""pressing"": null, ""progression"": 5.39}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,39170,Bent Sormo,D,61.0,4.75,MEDIUM,85.7,6.3,PBK_PLAYER_GRADE_V1,"{""attack"": 5.0, ""creation"": 5.66, ""defending"": 5.47, ""discipline"": 6.0, ""possession"": 0.0, ""pressing"": null, ""progression"": 5.98}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,39203,Eirik Johansen,,,,,,,PBK_PLAYER_GRADE_V1,{},"[""NO_MINUTES""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,39333,Lars Christopher Vilsvik,D,29.0,4.75,LOW,85.7,7,PBK_PLAYER_GRADE_V1,"{""attack"": 5.0, ""creation"": 7.79, ""defending"": 5.0, ""discipline"": 6.0, ""possession"": 0.0, ""pressing"": null, ""progression"": 6.19}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,39340,Herman Stengel,M,72.0,4.34,HIGH,85.7,6.7,PBK_PLAYER_GRADE_V1,"{""attack"": 5.0, ""creation"": 5.71, ""defending"": 4.57, ""discipline"": 6.0, ""possession"": 0.0, ""pressing"": null, ""progression"": 5.79}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,393951,Samuel Silalahi,,,,,,,PBK_PLAYER_GRADE_V1,{},"[""NO_MINUTES""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
1342186,324,Stromsgodset,2025-03-29T15:00:00+00:00,2026-09-19T21:44:52Z,411649,Fredrik Pau Vilaseca Ardraa,F,18.0,6.16,LOW,85.7,7.2,PBK_PLAYER_GRADE_V1,"{""attack"": 10.0, ""creation"": 5.6, ""defending"": 5.0, ""discipline"": 0.0, ""possession"": 0.0, ""pressing"": null, ""progression"": 5.88}","[""AGGREGATE_SOURCE_NO_TRUE_ACTION_QUALITY"", ""PROGRESSION_PROXY_ONLY"", ""PRESSING_UNAVAILABLE""]",API_FOOTBALL_FIXTURES_PLAYERS,true,false,false,false,false
