fixture_id,provider_league_id,league_name,country,country_flag_url,league_logo_url,season,round,kickoff_utc,home_team,home_team_logo_url,away_team,away_team_logo_url,referee,venue_name,venue_city,status,source_status,score_home,score_away,observed_at_utc
1494774,103,Eliteserien,Norway,https://media.api-sports.io/flags/no.svg,https://media.api-sports.io/football/leagues/103.png,2026,Regular Season - 23,2026-10-09T17:00:00+00:00,Brann,https://media.api-sports.io/football/teams/319.png,Viking,https://media.api-sports.io/football/teams/759.png,,Brann Stadion,Bergen,scheduled,NS,,,2026-09-25T11:28:46Z
1494773,103,Eliteserien,Norway,https://media.api-sports.io/flags/no.svg,https://media.api-sports.io/football/leagues/103.png,2026,Regular Season - 23,2026-10-10T14:00:00+00:00,Bodo/Glimt,https://media.api-sports.io/football/teams/327.png,Kristiansund BK,https://media.api-sports.io/football/teams/320.png,,Aspmyra Stadion,,scheduled,NS,,,2026-09-25T11:28:46Z
1494778,103,Eliteserien,Norway,https://media.api-sports.io/flags/no.svg,https://media.api-sports.io/football/leagues/103.png,2026,Regular Season - 23,2026-10-10T16:00:00+00:00,Rosenborg,https://media.api-sports.io/football/teams/331.png,Sandefjord,https://media.api-sports.io/football/teams/332.png,,Lerkendal Stadion,Trondheim,scheduled,NS,,,2026-09-25T11:28:46Z
1494775,103,Eliteserien,Norway,https://media.api-sports.io/flags/no.svg,https://media.api-sports.io/football/leagues/103.png,2026,Regular Season - 23,2026-10-11T12:30:00+00:00,Fredrikstad,https://media.api-sports.io/football/teams/2149.png,Tromso,https://media.api-sports.io/football/teams/325.png,,Fredrikstad Stadion,Fredrikstad,scheduled,NS,,,2026-09-25T11:28:46Z
1494772,103,Eliteserien,Norway,https://media.api-sports.io/flags/no.svg,https://media.api-sports.io/football/leagues/103.png,2026,Regular Season - 23,2026-10-11T15:00:00+00:00,Aalesund,https://media.api-sports.io/football/teams/757.png,Sarpsborg 08 FF,https://media.api-sports.io/football/teams/333.png,,Color Line Stadion,,scheduled,NS,,,2026-09-25T11:28:46Z
1494779,103,Eliteserien,Norway,https://media.api-sports.io/flags/no.svg,https://media.api-sports.io/football/leagues/103.png,2026,Regular Season - 23,2026-10-11T15:00:00+00:00,Start,https://media.api-sports.io/football/teams/334.png,Ham-Kam,https://media.api-sports.io/football/teams/2159.png,,,Kristiansand,scheduled,NS,,,2026-09-25T11:28:46Z
1494777,103,Eliteserien,Norway,https://media.api-sports.io/flags/no.svg,https://media.api-sports.io/football/leagues/103.png,2026,Regular Season - 23,2026-10-11T17:15:00+00:00,Lillestrom,https://media.api-sports.io/football/teams/321.png,Molde,https://media.api-sports.io/football/teams/329.png,,,,scheduled,NS,,,2026-09-25T11:28:46Z
1494776,103,Eliteserien,Norway,https://media.api-sports.io/flags/no.svg,https://media.api-sports.io/football/leagues/103.png,2026,Regular Season - 23,2026-10-12T17:00:00+00:00,KFUM Oslo,https://media.api-sports.io/football/teams/2143.png,Valerenga,https://media.api-sports.io/football/teams/326.png,,KFUM Arena,Oslo,scheduled,NS,,,2026-09-25T11:28:46Z
1553190,106,Ekstraklasa,Poland,https://media.api-sports.io/flags/pl.svg,https://media.api-sports.io/football/leagues/106.png,2026,Regular Season - 10,2026-10-09T16:00:00+00:00,Wieczysta Kraków,https://media.api-sports.io/football/teams/17115.png,Wisla Plock,https://media.api-sports.io/football/teams/341.png,,Synerise Arena - Stadion Miejski im. Henryka Reymana,,scheduled,NS,,,2026-09-25T11:28:46Z
1553188,106,Ekstraklasa,Poland,https://media.api-sports.io/flags/pl.svg,https://media.api-sports.io/football/leagues/106.png,2026,Regular Season - 10,2026-10-09T18:30:00+00:00,Raków Częstochowa,https://media.api-sports.io/football/teams/3491.png,GKS Katowice,https://media.api-sports.io/football/teams/3484.png,,Miejski Stadion Pilkarski Rakow,,scheduled,NS,,,2026-09-25T11:28:46Z
