entity_id,entity_type,rule_or_stage,api_fixture_id,league,home_team,away_team,kickoff_utc,event_time_utc,event_type,status,selection,bookmaker,odds,details
BTTS_NO|1570384,WATCH,Stage63,1570384,La Liga,Atletico Madrid,Osasuna,2026-09-16T17:00:00Z,2026-09-14T10:16:12Z,WATCH_CROSSING,WATCH_ONLY,ОЗ — Нет,Marathonbet,1.81,movement_pp=-0.04000000
BTTS_NO|1570384,WATCH,Stage63,1570384,La Liga,Atletico Madrid,Osasuna,2026-09-16T17:00:00Z,2026-09-16T16:16:35Z,WATCH_CLOSE,QUALIFIED_AT_CLOSE,ОЗ — Нет,Marathonbet,1.66,close_qualified=YES
BTTS_NO|1570384,WATCH,Stage63,1570384,La Liga,Atletico Madrid,Osasuna,2026-09-16T17:00:00Z,2026-09-16T18:58:27Z,WATCH_SETTLEMENT,SETTLED,ОЗ — Нет,Marathonbet,1.81,result=W profit_u=0.810
BTTS_NO|1570393,WATCH,Stage63,1570393,La Liga,Athletic Club,Alaves,2026-09-19T14:15:00Z,2026-09-16T14:17:14Z,WATCH_CROSSING,WATCH_ONLY,ОЗ — Нет,Marathonbet,1.78,movement_pp=-0.04000000
BTTS_NO|1570400,WATCH,Stage63,1570400,La Liga,Sevilla,Barcelona,2026-09-19T19:00:00Z,2026-09-17T02:16:08Z,WATCH_CROSSING,WATCH_ONLY,ОЗ — Нет,Marathonbet,2.0,movement_pp=-0.03333333
BTTS_NO|1575167,WATCH,Stage63,1575167,Bundesliga,Bayern München,Union Berlin,2026-09-18T18:30:00Z,2026-09-16T14:17:14Z,WATCH_CROSSING,WATCH_ONLY,ОЗ — Нет,Marathonbet,1.89,movement_pp=-0.03333333
BTTS_YES|1550123,WATCH,Stage63,1550123,Serie A,Napoli,Bologna,2026-09-13T16:00:00Z,2026-09-13T12:19:23Z,WATCH_CROSSING,WATCH_ONLY,ОЗ — Да,Marathonbet,1.76,movement_pp=0.04000000
BTTS_YES|1550123,WATCH,Stage63,1550123,Serie A,Napoli,Bologna,2026-09-13T16:00:00Z,2026-09-13T14:14:55Z,WATCH_CLOSE,QUALIFIED_AT_CLOSE,ОЗ — Да,Marathonbet,1.77,close_qualified=YES
BTTS_YES|1550123,WATCH,Stage63,1550123,Serie A,Napoli,Bologna,2026-09-13T16:00:00Z,2026-09-13T18:06:37Z,WATCH_SETTLEMENT,SETTLED,ОЗ — Да,Marathonbet,1.76,result=L profit_u=-1.000
BTTS_YES|1550125,WATCH,Stage63,1550125,Serie A,Torino,AS Roma,2026-09-14T16:30:00Z,2026-09-11T22:15:22Z,WATCH_CROSSING,WATCH_ONLY,ОЗ — Да,Marathonbet,1.81,movement_pp=0.03333333
BTTS_YES|1550125,WATCH,Stage63,1550125,Serie A,Torino,AS Roma,2026-09-14T16:30:00Z,2026-09-14T16:16:41Z,WATCH_CLOSE,REVERTED_AT_CLOSE,ОЗ — Да,Marathonbet,1.81,close_qualified=NO
BTTS_YES|1550125,WATCH,Stage63,1550125,Serie A,Torino,AS Roma,2026-09-14T16:30:00Z,2026-09-14T18:42:03Z,WATCH_SETTLEMENT,SETTLED,ОЗ — Да,Marathonbet,1.81,result=L profit_u=-1.000
BTTS_YES|1550126,WATCH,Stage63,1550126,Serie A,Venezia,Fiorentina,2026-09-11T18:45:00Z,2026-09-11T18:18:44Z,WATCH_CLOSE,QUALIFIED_AT_CLOSE,ОЗ — Да,Marathonbet,1.49,close_qualified=YES
